,author,quote,related_concept,url,image,term,genre,sg_stance,sg_pro,sg_pro_method,sg_con,sg_con_method,type,annotation,
57966,Hubert Falco,L’Ilot #Montety viendra ainsi renforcer et compléter l’attractivité de #Toulon et de son grand centre-ville en complément du pôle culturel en pleine évolution et d’un cœur de Ville dont la rénovation se poursuit activement sur un périmètre en plein renouveau.,evolution,error,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Hubert_Falco_AFII_2008-10-15_n2.jpg/66px-Hubert_Falco_AFII_2008-10-15_n2.jpg,evolution,twitter,P,0.999749646,prediction,0,none,direct,none,
32856,António Guterres,"The Afghan refugees I met this week in Pakistan spoke of their hopes and dreams. They want to go back to their country and help build a future of peace, equality and opportunity. The international community must do everything it can to support them. ",immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Ant%C3%B3nio_Guterres_-_2019_%2848132270313%29_%28cropped%29.jpg/66px-Ant%C3%B3nio_Guterres_-_2019_%2848132270313%29_%28cropped%29.jpg,refugees,twitter,C,0,none,0.999889741,prediction,direct,none,
66634,Wes Streeting,"Sounds like the Home Office could do with a bit of Bible study of their own about how we should treat refugees, but I’m very happy to explain being Christian and gay. This story is truly awful &gt;&gt;&gt; ",LGBT,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Official_portrait_of_Wes_Streeting_MP_crop_2.jpg/75px-Official_portrait_of_Wes_Streeting_MP_crop_2.jpg,gay,twitter,P,1,ibm,0,none,direct,none,
39885,Douglas Alexander,Thanks Ruth. Your strong support for international development has been and will remain important.,evolution,error,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Douglas_Alexander_MP_at_Chatham_House_2015_crop.jpg/79px-Douglas_Alexander_MP_at_Chatham_House_2015_crop.jpg,development,twitter,P,0.999725016,prediction,0,none,direct,none,
49681,Alistair Burt,"UK deeply concerned by escalation at the Gaza perimeter and fatalities today, including the killing of an IDF soldier. Urge Hamas to end acts of violence. Urgent need for both sides to show restraint and protect civilians. Agree with @NMladenov that cycle of violence must end now",nationalism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Official_portrait_of_Alistair_Burt_crop_2.jpg/75px-Official_portrait_of_Alistair_Burt_crop_2.jpg,hamas,twitter,P,0.999727256,prediction,0,none,direct,c,
35614,Andrew Cuomo,"While the NRA maintains control over ultra-conservative Republicans in Washington, New York refuses to stand idly by. I’m honored to accept the Brady Campaign’s endorsement and to fight together to advance the fight for gun safety. ",Gun control,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Andrew_Cuomo_2017.jpg/70px-Andrew_Cuomo_2017.jpg,gun control,twitter,P,1,ibm,0,none,direct,p,
1692,Nadine Dorries,Well done pro-life MP Fiona http://conservativehome.blogs.com/parliament/2013/01/fiona-bruce-mp-highlights-new-evidence-that-girls-are-more-likely-to-be-aborted-than-boys.html,abortion,error,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Official_portrait_of_Ms_Nadine_Dorries_crop_2.jpg/75px-Official_portrait_of_Ms_Nadine_Dorries_crop_2.jpg,pro-life,twitter,C,0,none,0.99988639,prediction,direct,none,
66613,Luke Pollard,Utterly ashamed to be represented by this vile woman. Being gay isn’t a disease to be cured. Ann Widdecombe is continuing her sick anti-#LGBT campaign.,LGBT,error,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Official_portrait_of_Luke_Pollard_MP_crop_2.jpg/75px-Official_portrait_of_Luke_Pollard_MP_crop_2.jpg,gay,twitter,P,1,ibm,0,none,direct,p,
18867,Diane Abbott,"NHS immigration surcharge should be scrapped completely. Rooted in periodic “health tourist” scares in the media. NHS migrant workers paying three times over, through their taxes, through the surcharge and (increasingly) with their lives",immigration,error,error,immigration,twitter,C,0,none,0.999906554,prediction,direct,p,
40621,Lisa Murkowski,"Alaskans have a lot to be proud of this #CleanEnergyWeek. This year it seemed like Alaska had new innovations every day — from Igiugig’s landmarks in marine renewable energy, to Cordova’s expansion of hydro energy storage, and #EnergyEfficiency gains across the state.",renewable energy,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Lisa_Murkowski_official_photo.jpg/86px-Lisa_Murkowski_official_photo.jpg,renewable energy,twitter,P,0.999748243,prediction,0,none,direct,p,
35800,Cory Booker,"RT @LadyComeDown: @AwesomeAbdel It IS a famous, often quoted teaching from the Talmud--one of many similarities between Judaism and Islam.",judaism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg/80px-Cory_Booker%2C_official_portrait%2C_114th_Congress.jpg,judaism,twitter,P,0.999733174,prediction,0,none,direct,none,
28091,John Avlon,So Trump wants to make investigating corruption the centerpiece of 2020? Look forward to the release of his taxes,tax,error,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/John_avlon_pic.jpg/75px-John_avlon_pic.jpg,tax,twitter,C,0,none,0.999827448,prediction,direct,none,
375,Bernie Sanders,"Tonight, tune in to http://live.berniesanders.com at 7 p.m. ET for a livestream on the disproportionate impact of coronavirus on the African American community and the systemic racism in our health care system. ",racism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bernie_Sanders_in_March_2020.jpg/72px-Bernie_Sanders_in_March_2020.jpg,racism,twitter,C,0,none,0.999902061,prediction,direct,none,
39205,Orrin Hatch,"As you learn more about other religions and listen openly to those of different faiths, you start to see the many similarities within diverse faiths, rather than the differences.—Pamela Atkinson, First Presbyterian Church #OGHFoundation #utpol",religion,error,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Orrin_Hatch_official_photo%2C_2015.jpg/80px-Orrin_Hatch_official_photo%2C_2015.jpg,religion,twitter,C,0,none,0.999878668,prediction,direct,p,
36390,Paul Ryan,"Another quote from Senator Schumer in 2013: ""We could say, 'we're shutting down the government … until you pass immigration reform.' It would be governmental chaos.""",immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Paul_Ryan_official_photo.jpg/73px-Paul_Ryan_official_photo.jpg,immigration,twitter,C,0,none,0.999900687,prediction,direct,none,quote from others
362,Bernie Sanders,The days of the NRA controlling Congress and writing our gun laws must end. Join us live with @momsdemand and @everytown for a gun violence prevention forum in Iowa. ,gun violence,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bernie_Sanders_in_March_2020.jpg/72px-Bernie_Sanders_in_March_2020.jpg,gun violence,twitter,C,0,none,0.999889387,prediction,direct,c,
37339,Steve King,Alamance Sheriff Terry Johnson says during Commission meeting that rise in drug crime in county is because of the Mexican Cartel and that is why immigration enforcement is needed. @WXII,Immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Steve_King_official_photo.jpg/79px-Steve_King_official_photo.jpg,immigration,twitter,C,0,none,1,ibm,direct,c,
20841,Rick Scott,"Children should never be punished for the actions of their parents, and I’ve always supported protections for our DREAMers. Now it’s time for Democrats to decide if they want to negotiate in good faith and accept a compromise that secures our borders...",faith,error,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Official_Portrait_of_Senator_Rick_Scott_%28R-FL%29.jpg/80px-Official_Portrait_of_Senator_Rick_Scott_%28R-FL%29.jpg,faith,twitter,C,0,none,0.794289954,prediction,direct,none,
51447,John Bel Edwards,Louisiana sales tax to drop July 1 via #lagov #lalege,tax,error,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/John_Bel_Edwards.jpg/89px-John_Bel_Edwards.jpg,tax,twitter,P,0.999757497,prediction,0,none,direct,none,
49379,Rick Perry,"Excited to join @realDonaldTrump at the Shell Cracker site in Pennsylvania, which is employing 6K American workers. Energy independence and infrastructure development are key components of the President’s agenda which continue to fuel America’s booming economy. ",evolution,error,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Rick_Perry_official_portrait.jpg/77px-Rick_Perry_official_portrait.jpg,development,twitter,P,0.999752048,prediction,0,none,direct,none,
56127,Lea DeLaria,... @BarackObama. Thank you Mr. President. Check it bitches. I’m in @SupporttheGirls. I play a lesbian regular customer in a breasteraunte. #typecast #blessed,LGBT,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Lea_DeLaria_at_the_International_Emmy_Awards.jpg/100px-Lea_DeLaria_at_the_International_Emmy_Awards.jpg,lesbian,twitter,P,1,ibm,0,none,direct,none,
53045,Keir Starmer,"At precisely the time when there should have been maximum trust in the government, confidence has collapsed. ",faith,error,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Official_portrait_of_Keir_Starmer_crop_2.jpg/75px-Official_portrait_of_Keir_Starmer_crop_2.jpg,trust,twitter,C,0,none,0.999885267,prediction,direct,none,
40239,Tammy Duckworth,Like my #Military #ParentalLeave Actwhich wld hlp ensure we’re nt discriminating agnst children of #LGBT couples[2/2]http://1.usa.gov/1pOT3Ct,lgbt,error,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Tammy_Duckworth%2C_official_portrait%2C_115th_Congress.jpg/80px-Tammy_Duckworth%2C_official_portrait%2C_115th_Congress.jpg,lgbt,twitter,P,0.99973035,prediction,0,none,direct,p,
20713,Margrethe Vestager,#EDD17 getting ready for @Lagarde speech and panel - among other things on fair taxation. Looking forward! ,tax,error,error,taxation,twitter,C,0,none,0.862269479,prediction,direct,none,
55675,David Cicilline,"Did you know: In most states, same-sex couples can be married on Sunday and fired on Monday because they’re gay? This is wrong and the #EqualityAct will stop it.",LGBT,error,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/David_Cicilline_official_photo.jpg/75px-David_Cicilline_official_photo.jpg,gay,twitter,P,1,ibm,0,none,direct,p,
17933,Alex Salmond,I want to see a European Union that does something decisive about the crisis in the Mediterranean and on climate change #bbqt,european union,error,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Alex_Salmond%2C_First_Minister_of_Scotland_%28cropped%29.jpg/70px-Alex_Salmond%2C_First_Minister_of_Scotland_%28cropped%29.jpg,european union,twitter,C,0,none,0.362696126,prediction,direct,none,
44700,Marco Rubio,"Appears #Egypt has brokered deal to free #Israel soldier Gilad #Shalit, held by Hamas for more than 5 years http://nyti.ms/okJwXb #sayfie",nationalism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Senator_Rubio_official_portrait.jpg/80px-Senator_Rubio_official_portrait.jpg,hamas,twitter,P,0.999744227,prediction,0,none,direct,none,
29341,Newt Gingrich,"As the radical media and the @nytimes push Joe Biden to the nomination, they are finally reveling Bernie Sanders' ties to the Soviet Union. ",soviet union,error,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/NewtGingrich.jpg/67px-NewtGingrich.jpg,soviet union,twitter,P,0.999749167,prediction,0,none,direct,none,
1709,Nancy Pelosi," Manufacturers closed plants to ship jobs overseas. Big corporations paid zero in taxes while ordinary, hard-working people got slapped with a tax hike. Trump is actively pushing to gut of over $2 trillion from Medicare, Medicaid and Social Security. ",tax,error,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Official_photo_of_Speaker_Nancy_Pelosi_in_2019.jpg/80px-Official_photo_of_Speaker_Nancy_Pelosi_in_2019.jpg,tax,twitter,C,0,none,0.999827633,prediction,direct,none,
47506,Larry Kudlow,We're all worried about 24% steel tariffs & new round of protectionism. Trump so good on taxes &amp; reg rollback. Tariffs not good. @batchelorshow @joshrogin @larry_kudlow https://www.washingtonpost.com/,tax,error,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Larry_Kudlow_%2825484250682%29_%28cropped%29.jpg/78px-Larry_Kudlow_%2825484250682%29_%28cropped%29.jpg,tax,twitter,P,0.439150878,prediction,0,none,direct,c,
52773,Kasim Reed,I'm proud to be here in the Atlanta Pride Parade supporting the #LGBT community! Pls RT!,lgbt,error,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Kasim_Reed_2011.jpg/73px-Kasim_Reed_2011.jpg,lgbt,twitter,P,0.999745412,prediction,0,none,direct,p,
57785,Jon Trickett,I do not trust one single word this lot say. They would « die in a trench » they said if they didn’t do Brexit by October 31st. But here we are still in a logjam after two Tory PMs dithered for more than 3 years ,faith,error,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Official_portrait_of_Jon_Trickett_crop_2.jpg/75px-Official_portrait_of_Jon_Trickett_crop_2.jpg,trust,twitter,C,0,none,0.999912209,prediction,direct,none,
368,Bernie Sanders,"LIVE: Watch Sen. Sanders speak at @SAISHopkins on about the problem of authoritarian nationalism threatening democratic societies, and the need to build a global progressive movement. https://www.facebook.com/senatorsanders/videos/238690443469688/",nationalism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bernie_Sanders_in_March_2020.jpg/72px-Bernie_Sanders_in_March_2020.jpg,nationalism,twitter,P,0.999736337,prediction,0,none,direct,none,show others view
37331,Jim Inhofe,It’s time OAdm pause in accepting Syrians refugees into U.S. until further Congressional review of vetting process. http://1.usa.gov/1PwwY6K,Immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Jim_Inhofe_official_portrait.jpg/80px-Jim_Inhofe_official_portrait.jpg,refugees,twitter,C,0,none,1,ibm,direct,c,
18110,Ida Auken,"Ban Ki Moon should collect 12 political leaders, 12 business leaders and deliver 12 results. #wef #post2015framework #globalagenda",prohibition,error,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/FileIda_Auken_%28SF%29_miljominister_Danmark._Nordiska_radets_session_i_Kopenhamn_2011_Crop.jpg/100px-FileIda_Auken_%28SF%29_miljominister_Danmark._Nordiska_radets_session_i_Kopenhamn_2011_Crop.jpg,ban,twitter,P,0.999752047,prediction,0,none,direct,none,
54628,Pia Wurtzbach,"#ihateitwhenguyssay that Bill Kaulitz is gay. You fool, that's not true! :)",lgbt,error,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Miss_Universe_2015_Pia_Wurtzbach_071816_%28cropped%29.jpg/59px-Miss_Universe_2015_Pia_Wurtzbach_071816_%28cropped%29.jpg,gay,twitter,P,0.999715408,prediction,0,none,direct,none,
361,Bernie Sanders,"We must make certain that people who should not have guns, do not have guns. We must fight for sensible gun control legislation.",gun control,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bernie_Sanders_in_March_2020.jpg/72px-Bernie_Sanders_in_March_2020.jpg,gun control,twitter,P,0.999753985,prediction,0,none,direct,p,
1701,Nancy Pelosi,".@realDonaldTrump’s latest immigration “proposal” features the worst of his failed policies: family detention, his ineffective wall, abandoning Dreamers and gutting asylum &amp; refugee protections. In other words, it’s dead on arrival. ",immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Official_photo_of_Speaker_Nancy_Pelosi_in_2019.jpg/80px-Official_photo_of_Speaker_Nancy_Pelosi_in_2019.jpg,refugees,twitter,C,0,none,0.999873094,prediction,direct,p,
41104,Cory Gardner,My heart goes out to the congregation of Chabad of Poway and all those affected by this heinous act of violence against people as they worship during Passover. We must unite against anti-semitism and stop the spread of bigotry everywhere.,antisemitism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Cory_Gardner_official_Senate_portrait.jpeg/79px-Cory_Gardner_official_Senate_portrait.jpeg,anti-semitism,twitter,C,0,none,0.584913179,prediction,direct,c,
41116,Elizabeth Warren,This policy to ban transgender people from openly serving in our military is shameful and should be reversed immediately. We’re going to fight this tooth-and-nail. #ProtectTransTroops,lgbt,error,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg/80px-Elizabeth_Warren%2C_official_portrait%2C_114th_Congress.jpg,transgender,twitter,P,0.999741529,prediction,0,none,direct,p,
40582,Aburizal Bakrie,"Kebersihan masjid misalnya harus dijaga dg baik. Karena Islam identik dengan kebersihan. Jangan sampai karena masjidnya kotor, maka orang menilai bahwa umat Islam itu jorok. Karenanya dari masjid ini harus diteladankan kebersihan. #masjidachmadbakrie #masjidachmadbakriekisaran",Islam,error,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Aburizal_Bakrie_-_March_2011.jpeg/68px-Aburizal_Bakrie_-_March_2011.jpeg,islam,twitter,P,1,ibm,0,none,direct,none,
969,Jacinda Ardern,@WinPropP @juliefairey It wasn't policy that GCSB spy on NZ residents either. Policy and reality are sometimes two different things,espionage,error,error,spy,twitter,P,0.978924627,prediction,0,none,direct,none,
44519,John Hoeven,The @USTreasury has issued guidance on the 45Q tax credit for #CCUS. Worked to advance this step b/c it will allow project dev. to meet construction deadlines…,tax,error,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Hoeven_Official_Portrait_2014.JPG/79px-Hoeven_Official_Portrait_2014.JPG,tax,twitter,P,0.999764749,prediction,0,none,direct,none,
7605,Peter Hain,Kick It Out at 25: progress made but lots still to do in anti-racism fight ⁦@AntiRacismDay⁩ ⁦@uaf⁩ ⁦@hopenothate⁩,racism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Official_portrait_of_Lord_Hain_crop_2%2C_2019.jpg/75px-Official_portrait_of_Lord_Hain_crop_2%2C_2019.jpg,anti-racism,twitter,C,0,none,0.999891095,prediction,direct,c,
3045,Geert Wilders,"No stronger retrograde force exists in the world. Far from being moribund, Mohammedanism is a militant and proselytizing faith.' ",faith,error,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Geert_Wilders_op_Prinsjesdag_2014_%28cropped%29.jpg/59px-Geert_Wilders_op_Prinsjesdag_2014_%28cropped%29.jpg,faith,twitter,C,0,none,0.999882852,prediction,direct,none,
277,Barack Obama,The administration has announced a 20-year moratorium on new uranium mining near the Grand Canyon: http://OFA.BO/sJiZBp #progress,mining,error,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/President_Barack_Obama.jpg/80px-President_Barack_Obama.jpg,mining,twitter,P,0.999754464,prediction,0,none,direct,none,
13695,Mark Warner,MT @NPRinskeep: He has NRA A rating &amp; owns guns but @MarkWarner says his daughters pushed him to reconsider gun control/http://1.usa.gov/U0L4MW,gun control,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Warner_113th_Congress_photo.jpg/71px-Mark_Warner_113th_Congress_photo.jpg,gun control,twitter,P,0.999725828,prediction,0,none,direct,none,
1428,Leo Varadkar,"Event getting underway to call for a Yes vote on May 25th. Today and every day, 9 Irish women will travel abroad to end their pregnancy. 3 more will take an abortion pill they got online, with no medical supervision. #VoteYes to show these women compassion in crisis #Together4Yes",abortion,error,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Leo_Varadkar_TD_%28cropped%29.jpg/76px-Leo_Varadkar_TD_%28cropped%29.jpg,abortion,twitter,C,0,none,0.999870535,prediction,direct,p,
44917,Sarah Wollaston,".@anthea_bailey extremes of both L &amp; R are in the gutter on a road to ruin, I support realistic centre right compassionate Conservatism",conservatism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Official_portrait_of_Dr_Sarah_Wollaston_crop_2.jpg/75px-Official_portrait_of_Dr_Sarah_Wollaston_crop_2.jpg,conservatism,twitter,P,0.999736531,prediction,0,none,direct,p,
51590,Richard Shelby,ICYMI - I just spoke on the Senate floor urging POTUS to immediately halt the Syrian refugee resettlement program: https://www.youtube.com/watch?v=2_f13Lq-6Lw.,immigration,error,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Richard_Shelby%2C_official_portrait%2C_112th_Congress.jpg/79px-Richard_Shelby%2C_official_portrait%2C_112th_Congress.jpg,refugees,twitter,C,0,none,0.999904192,prediction,direct,none,
49882,David Lammy,I think Mr Wawrzyniak would have more faith in you if you paid him the dignity of actually spelling his name correctly but I guess he’s only an EU citizen after all! ,faith,error,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Official_portrait_of_Rt_Hon_David_Lammy_MP_crop_2.jpg/75px-Official_portrait_of_Rt_Hon_David_Lammy_MP_crop_2.jpg,faith,twitter,P,0.999661475,prediction,0,none,direct,none,
55457,Boy George,We must encourage our transgender children to be loving towards themselves. And we must love them! ,LGBT,error,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Boy_George_by_Dean_Stockings.jpg/66px-Boy_George_by_Dean_Stockings.jpg,transgender,twitter,P,1,ibm,0,none,direct,p,
29702,Donald Trump,What a coincidence?! @BarackObama's campaign logo uses the same font as Cuban communist propaganda posters. ,communism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/79px-Donald_Trump_official_portrait.jpg,communists,twitter,C,0,none,0.99990339,prediction,direct,none,
17210,Andrew Cuomo,New York State is joining a lawsuit against the federal government for failing to enforce the Fair Housing Act. The Department of Housing and Urban Development must enforce rules requiring local and state governments to address segregated housing patterns.,evolution,error,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Andrew_Cuomo_2017.jpg/70px-Andrew_Cuomo_2017.jpg,development,twitter,P,0.999742012,prediction,0,none,direct,none,
47850,Michel Onfray,"Michel Onfray se penche sur la ""poésie"" de #Médine. Le rappeur, qui doit se produire au #Bataclan à l'occasion de la commémoration des événements du #13novembre, a tenu, dans plusieurs de ses textes, des propos violents affichant un islam brutal https://bit.ly/2KjHMW9",islam,error,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Michel_Onfray_no_Fronteiras_do_Pensamento_Santa_Catarina_2012_%288212742449%29.jpg/66px-Michel_Onfray_no_Fronteiras_do_Pensamento_Santa_Catarina_2012_%288212742449%29.jpg,islam,twitter,C,0,none,1,deduction,direct,none,
9819,Jesse Ventura,"Brigida & I are back. Tonight at 7:30 & 10 pm eastern @RT_America. No censorship, no propaganda, just my views on the topics I want to cover ",Censorship,error,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/JesseVentura1.jpg/83px-JesseVentura1.jpg,censorship,twitter,C,0,none,1,ibm,direct,none,
