,author,quote,related_concept,url,image,term,genre,sg_stance,sg_pro,sg_pro_method,sg_con,sg_con_method,type,annotation
19464,Lawrence Lessig,"Of all the creative work produced by humans anywhere, a tiny fraction has continuing commercial value. For that tiny fraction, the copyright is a crucially important legal device.",copyright,/wiki/Lawrence_Lessig,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Lawrence_Lessig_May_2017.jpg/77px-Lawrence_Lessig_May_2017.jpg,copyright,quote500k,p,1,ibm,0,none,direct,p
0,Jalal Talabani,""" the american army will liberate us from the iraqi dictatorship , and there will no longer be any question of secession , """,authoritarianism,error,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Meetings_of_Presidents_participated_in_Nowruz_with_Ali_Khamenei_-_Tehran%2C_Iran_%28Cropped_on_Talabani%29.jpg/79px-Meetings_of_Presidents_participated_in_Nowruz_with_Ali_Khamenei_-_Tehran%2C_Iran_%28Cropped_on_Talabani%29.jpg,dictatorship,gigaword,c,0,none,0.879965097,"{'source': 'ibm', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'contrast'}",undirect,c
15079,William Wordsworth,We must be free or die  who speak the tongue That Shakespeare spake  the faith and morals hold Which Milton held.,faith,/wiki/William_Wordsworth,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Wordsworth_on_Helvellyn_by_Benjamin_Robert_Haydon.jpg/81px-Wordsworth_on_Helvellyn_by_Benjamin_Robert_Haydon.jpg,faith,quote500k,p,0.478443426,"{'source': 'prediction', 'related_topic': 'buddhism', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,p
5499,Andrea Dworkin,"Feminists know that if women are paid equal wages for equal work, women will gain sexual as well as economic independence. But feminists have refused to face the fact that in a woman-hating social system, women will never be paid equal wages. Men in all their institutions of power are sustained by the sex labor and sexual subordination of women. The sex labor of women must be maintained; and systematic low wages for sex-neutral work effectively force women to sell sex to survive. The economic system that pays women lower wages than it pays men actually punishes women for working outside marriage or prostitution, since women work hard for low wages and still must sell sex. The economic system that punishes women for working outside the bedroom by paying low wages contributes significantly to women's perception that the sexual serving of men is a necessary part of any woman's life: or how else could she live? Feminists appear to think that equal pay for equal work is a simple reform, whereas it no reform at all; it is revolution. Feminists have refused to face the fact that equal pay for equal work is impossible as long as men rule women, and right-wing women have refused to forget it.",feminism,/wiki/Andrea_Dworkin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Dworkin_on_After_Dark.JPG/100px-Dworkin_on_After_Dark.JPG,feminists,quote500k,p,1,ibm,0,none,direct,p
17809,Abraham Lincoln,True patriotism is better than the wrong kind of piety.,nationalism,/wiki/Abraham_Lincoln,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg/80px-Abraham_Lincoln_O-77_matte_collodion_print.jpg,patriotism,quote500k,p,0.999753366,prediction,0,none,direct,p
7660,Ellen G. White,"Our acceptance with God is sure only through His beloved Son, and good works are but the result of the working of His sin-pardoning love. They are no credit to us, and we have nothing accorded to us for out good works by which we may claim a part in the salvation of our souls. Salvation is God’s free gift to the believer, given to him for Christ’s sake alone. The troubled soul may find peace through faith in Christ, and his peace will be in proportion to his faith and trust. He cannot present his good works as a plea for the salvation of his soul. 	But are good works of no real value? Is the sinner who commits sin every day with impunity, regarded of God with the same favor as the one who through faith in Christ tries to work in his integrity? The Scripture answers, ‘We are his workmanship, created in Christ Jesus unto good works, which God has before ordained that we should work in them.’ In His divine arrangement, through His unmerited favor, the Lord has ordained that good works shall be rewarded. We are accepted through Christ’s merit alone, and the acts of mercy, the deeds of charity, which we perform, are the fruits of faith; and they become a blessing to us; for men are to be rewarded according to their works. It is the fragrance of the merit of Christ than makes our good works acceptable to God, and it is grave that enables us to do the works for which He rewards us. Our works in and of themselves have no merit. When we have done all that it is possible for us to do, we are to count ourselves as unprofitable servants. We deserve no thanks from God. We have only done what it was our duty to do, and our works could not have been performed in the strength of our own sinful nature.  	The Lord has bidden us to draw nigh to Him, and He will draw nigh to us; and drawing nigh to Him, we receive the grace by which to do those good works which will be rewarded at His hands.",faith,/wiki/Ellen_G._White,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ellen_G._White.jpg/66px-Ellen_G._White.jpg,faith,quote500k,p,0.999738423,prediction,0,none,direct,p
19380,Barry Commoner,"The most meaningful engine of change, powerful enough to confront corporate power, may be not so much environmental quality, as the economic development and growth associated with the effort to improve it.",evolution,/wiki/Barry_Commoner,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Barry_Commoner_1980.jpg/75px-Barry_Commoner_1980.jpg,development,quote500k,p,0.999737778,prediction,0,none,direct,none
979,Ralph Waldo Emerson,Everything in creation has its appointed painter or poet and remains in bondage like the princess in the fairy tale 'til its appropriate liberator comes to set it free.,slavery,/wiki/Ralph_Waldo_Emerson,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ralph_Waldo_Emerson_ca1857_retouched.jpg/62px-Ralph_Waldo_Emerson_ca1857_retouched.jpg,bondage,quote500k,c,0,none,0.014858827,prediction,direct,c
17599,Michael D. Higgins,"I am delighted with the strong vote I have received. My message of positive leadership, patriotism and commitment clearly was resonating with tens of thousands of ordinary Irish people.",nationalism,/wiki/Michael_D._Higgins,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Michael_D._Higgins_2006.jpg/71px-Michael_D._Higgins_2006.jpg,patriotism,quote500k,p,0.882317889,"{'source': 'prediction', 'related_topic': 'cold war', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,p
0,Michael Bloomberg,""" the new towers will be a magnificent addition to the rebirth of lower manhattan , """,reincarnation,error,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Mike_Bloomberg_Headshot.jpg/66px-Mike_Bloomberg_Headshot.jpg,rebirth,gigaword,p,0.611437425,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,none
15367,George Mueller,The beginning of anxiety is the end of faith  and the beginning of true faith is the end of anxiety.,faith,/entity/Q3821445,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/GEMueller.jpg/65px-GEMueller.jpg,faith,quote500k,p,0.479956177,"{'source': 'prediction', 'related_topic': 'prohibition', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,p
5348,Joseph Sobran,"When your child is a little older, you can teach him about our tax system in a way that is easy to grasp. Offer him, say, $10 to mow the lawn. When he has mowed it and asks to be paid, withhold $5 and explain that this is income tax. Give $1 to his younger brother, and tell him that this is ""fair"". Also, explain that you need the other $4 yourself to cover the administrative costs of dividing the money. When he cries, tell him he is being ""selfish"" and ""greedy"". Later in life he will thank you.",tax,/wiki/Joseph_Sobran,error,tax,quote500k,c,0,none,0.59169629,"{'source': 'prediction', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",undirect,c
16657,Philip Hammond,Scotland forms a crucial part of our Armed Forces which should not be jeopardised by rushed cuts or a rush to the exit from the U.K. Defence jobs are vital to the Scottish economy and yet independence puts thousands of jobs at risk.,independence,/wiki/Philip_Hammond,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Official_portrait_of_Mr_Philip_Hammond_crop_2.jpg/75px-Official_portrait_of_Mr_Philip_Hammond_crop_2.jpg,independence,quote500k,p,0.931246533,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,c
18459,Angelina Jolie,"I've realized that being happy is a choice. You never want to rub anybody the wrong way or not be fun to be around, but you have to be happy. When I get logical and I don't trust my instincts - Thats when I get in trouble.",faith,/wiki/Angelina_Jolie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Angelina_Jolie_2_June_2014_%28cropped%29.jpg/71px-Angelina_Jolie_2_June_2014_%28cropped%29.jpg,trust,quote500k,p,0.999655979,prediction,0,none,direct,none
6406,Geoffrey Miller,"Imagine a young Isaac Newton time-travelling from 1670s England to teach Harvard undergrads in 2017. After the time-jump, Newton still has an obsessive, paranoid personality, with Asperger’s syndrome, a bad stutter, unstable moods, and episodes of psychotic mania and depression. But now he’s subject to Harvard’s speech codes that prohibit any “disrespect for the dignity of others”; any violations will get him in trouble with Harvard’s Inquisition (the ‘Office for Equity, Diversity, and Inclusion’). Newton also wants to publish Philosophiæ Naturalis Principia Mathematica, to explain the laws of motion governing the universe. But his literary agent explains that he can’t get a decent book deal until Newton builds his ‘author platform’ to include at least 20k Twitter followers – without provoking any backlash for airing his eccentric views on ancient Greek alchemy, Biblical cryptography, fiat currency, Jewish mysticism, or how to predict the exact date of the Apocalypse.Newton wouldn’t last long as a ‘public intellectual’ in modern American culture. Sooner or later, he would say ‘offensive’ things that get reported to Harvard and that get picked up by mainstream media as moral-outrage clickbait. His eccentric, ornery awkwardness would lead to swift expulsion from academia, social media, and publishing. Result? On the upside, he’d drive some traffic through Huffpost, Buzzfeed, and Jezebel, and people would have a fresh controversy to virtue-signal about on Facebook. On the downside, we wouldn’t have Newton’s Laws of Motion.",social media,/entity/Q259194,error,social media,quote500k,p,0.954313601,"{'source': 'prediction', 'related_topic': 'twitter', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,c
0,Bill Clinton,""" cubans like the other peoples of this hemisphere , or eastern europe and the former soviet union , desire to be free , """,soviet union,error,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/77px-Bill_Clinton.jpg,soviet union,gigaword,p,0.99973641,prediction,0,none,direct,c
3403,Martha Nussbaum,"There is danger in speaking so generally about ""liberalism,"" a danger that has often plagued feminist debates. ""Liberalism"" is not a single position but a family of positions; Kantian liberalism is profoundly different from classical Utilitarian liberalism, and both of these from the Utilitarianism currently dominant in neoclassical economics.",liberalism,/wiki/Martha_Nussbaum,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Martha_Nussbaum_wikipedia_10-10.jpg/100px-Martha_Nussbaum_wikipedia_10-10.jpg,liberalism,quote500k,c,0,none,0.999875931,prediction,direct,c
17328,Wendell Berry,"I come into the peace of wild things who do not tax their lives with forethought of grief... For a time I rest in the grace of the world, and am free.",tax,/wiki/Wendell_Berry,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/A_New_Harvest%2C_with_Wendell_Berry%2C_Henry_County%2C_KY%2C_2011_-_photograph_by_Guy_Mendes_%28cropped%29.jpg/76px-A_New_Harvest%2C_with_Wendell_Berry%2C_Henry_County%2C_KY%2C_2011_-_photograph_by_Guy_Mendes_%28cropped%29.jpg,tax,quote500k,c,0,none,0.421090376,"{'source': 'ibm', 'related_topic': 'pacifism', 'stance': 'p', 'correlation': 'contrast'}",undirect,none
17360,Rosa DeLauro,"1 month ago the American people stopped to remember the third anniversary of the beginning of the Iraq war. We thought first and foremost of the selflessness, patriotism and heroism by our troops, our National Guard and Reserves.",nationalism,/wiki/Rosa_DeLauro,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Rosa_DeLauro_116th_Congress.jpg/82px-Rosa_DeLauro_116th_Congress.jpg,patriotism,quote500k,p,0.97661779,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,p
16647,Francis Parker Yockey,The independence of the economic sphere was a tenet of faith with Liberalism.,independence,/wiki/Francis_Parker_Yockey,error,independence,quote500k,p,0.526704283,"{'source': 'ibm', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'consistent'}",0.380749735,"{'source': 'prediction', 'related_topic': 'marxism', 'stance': 'c', 'correlation': 'consistent'}",undirect,p
17249,Milo Yiannopoulos,"On campuses, where Liberal softies still rule with an iron fist, feminism is as safe as a city with no women drivers. That is the only thing I support about Saudi Arabia, by the way.",feminism,/wiki/Milo_Yiannopoulos,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Milo_Yiannopoulos_2016.jpg/95px-Milo_Yiannopoulos_2016.jpg,feminism,quote500k,p,0.999741376,prediction,0,none,direct,c
19004,Laurence Housman,"Suicide is possible, but not probable; hanging, I trust, is even more unlikely; for I hope that, by the time I die, my countrymen will have become civilised enough to abolish capital punishment.",capital punishment,/wiki/Laurence_Housman,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Laurence_Housman.jpg/72px-Laurence_Housman.jpg,capital punishment,quote500k,c,0,none,0.550437349,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'contrast'}",undirect,c
13223,Hunter S. Thompson,"As I said, to put our faith in tangible goals would seem to be, at best, unwise. So we do not strive to be firemen, we do not strive to be bankers, nor policemen, nor doctors. We strive to be ourselves. But don’t misunderstand me. I don’t mean that we can’t be firemen, bankers, or doctors — but that we must make the goal conform to the individual, rather than make the individual conform to the goal...In short, he has not dedicated his life to reaching a pre-defined goal, but he has rather chosen a way of life he knows he will enjoy. The goal is absolutely secondary: it is the functioning toward the goal which is important.",faith,/wiki/Hunter_S._Thompson,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Hst-by-rsexton-longbeach-5-1989-0.jpg/88px-Hst-by-rsexton-longbeach-5-1989-0.jpg,faith,quote500k,p,0.783562178,"{'source': 'prediction', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,none
16924,Aleksandr Solzhenitsyn,"Of course God is endlessly multi-dimensional so every religion that exists on earth represents some face, some side of God.",religion,/wiki/Aleksandr_Solzhenitsyn,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Aleksandr_Solzhenitsyn_1974crop.jpg/80px-Aleksandr_Solzhenitsyn_1974crop.jpg,religion,quote500k,c,0,none,0.999864698,prediction,direct,p
15876,Martin Garrix,"Using social media to hurt and destroy is callous, acted out by cowards hiding behind computers. My advice is to ignore negativity. Focus on the love around.",social media,/entity/Q14544318,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Martin_Garrix_%40_Web_Summit_2017.jpg/80px-Martin_Garrix_%40_Web_Summit_2017.jpg,social media,quote500k,p,0.999750347,prediction,0,none,direct,none
16185,David Byrne,"The true face of smoking is disease, death and horror - not the glamour and sophistication the pushers in the tobacco industry try to portray.",smoking,/wiki/David_Byrne_(barrister),error,smoking,quote500k,c,0,none,0.445144546,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'contrast'}",undirect,c
17821,George Clooney,"I've been working with Pat Robertson on Africa debt-relief, and we disagree on virtually everything except certain very specific, inalienable rights, and the truth is that morality and patriotism come in all shapes and sizes.",nationalism,/wiki/George_Clooney,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/George_Clooney_2016.jpg/77px-George_Clooney_2016.jpg,patriotism,quote500k,p,0.938957716,"{'source': 'ibm', 'related_topic': 'lgbt', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,p
17319,Mahatma Gandhi,A small body of determined spirits fired by an unquenchable faith in their mission can alter the course of history.,faith,/wiki/Mahatma_Gandhi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Mahatma-Gandhi%2C_studio%2C_1931.jpg/80px-Mahatma-Gandhi%2C_studio%2C_1931.jpg,faith,quote500k,c,0,none,0.729776084,prediction,direct,p
18731,Salman Rushdie,"Like everybody else, I've had relationships in which I was passionately in love but was completely miserable all the time and didn't trust the person I was in love with one inch.",faith,/wiki/Salman_Rushdie,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Hayfestival-2016-Salman-Rushdie-1-cu.jpg/66px-Hayfestival-2016-Salman-Rushdie-1-cu.jpg,trust,quote500k,c,0.355783791,"{'source': 'prediction', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",0.459041705,"{'source': 'prediction', 'related_topic': 'religion', 'stance': 'c', 'correlation': 'consistent'}",undirect,none
9781,Robert G. Ingersoll,"At first Christ was a man – nothing more. Mary was his mother, Joseph his father. The genealogy of his father, Joseph, was given to show that he was of the blood of David.Then the claim was made that he was the son of God, and that his mother was a virgin, and that she remained a virgin until her death.The claim was made that Christ rose from the dead and ascended bodily to heaven.It required many years for these absurdities to take possession of the minds of men.If he really ascended, why did he not do so in public, in the presence of his persecutors? Why should this, the greatest of miracles, be done in secret, in a corner?Is Christ our example? He never said a word in favor of education. He never even hinted at the existence of any science. He never uttered a word in favor of industry, economy or of any effort to better our condition in this world. He was the enemy of the successful, of the wealthy. Dives was sent to hell, not because he was bad, but because he was rich.Lazarus went to heaven, not because he was good, but because he was poor.Christ cared nothing for painting, for sculpture, for music – nothing for any art. He said nothing about the duties of nation to nation, of king to subject; nothing about the rights of man; nothing about intellectual liberty or the freedom of speech. He said nothing about the sacredness of home; not one word for the fireside; not a word in favor of marriage, in honor of maternity.He never married. He wandered homeless from place to place with a few disciples. None of them seem to have been engaged in any useful business, and they seem to have lived on alms.All human ties were held in contempt; this world was sacrificed for the next; all human effort was discouraged. God would support and protect. At last, in the dusk of death, Christ, finding that he was mistaken, cried out: “My God! My God! Why hast thou forsaken me?We have found that man must depend on himself. He must clear the land; he must build the home; he must plow and plant; he must invent; he must work with hand and brain; he must overcome the difficulties and obstructions; he must conquer and enslave the forces of nature to the end that they may do the work of the world.",freedom of speech,/entity/Q469882,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Robert_G._Ingersoll_-_Brady-Handy.jpg/75px-Robert_G._Ingersoll_-_Brady-Handy.jpg,freedom of speech,quote500k,p,0.429597389,"{'source': 'prediction', 'related_topic': 'evolution', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,none
15675,John Boehner,House and Senate Republicans are now united in adopting earmark bans. We hope President Obama will follow through on his support for an earmark ban by pressing Democratic leaders to join House and Senate Republicans in taking this critical step to restore public trust.,prohibition,/wiki/John_Boehner,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/John_Boehner_official_portrait.jpg/80px-John_Boehner_official_portrait.jpg,ban,quote500k,p,0.69376202,"{'source': 'prediction', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,none
13256,Michael Shermer,"Religious faith depends on a host of social, psychological and emotional factors that have little or nothing to do with probabilities, evidence and logic.",faith,/wiki/Michael_Shermer,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Michael_Shermer_wiki_portrait4.jpg/81px-Michael_Shermer_wiki_portrait4.jpg,faith,quote500k,c,0.206240653,"{'source': 'prediction', 'related_topic': 'judaism', 'stance': 'p', 'correlation': 'consistent'}",0.531914943,"{'source': 'prediction', 'related_topic': 'religion', 'stance': 'c', 'correlation': 'consistent'}",undirect,c
10265,Joseph Conrad,"O youth! The strength of it, the faith of it, the imagination of it! To me she was not an old rattle-trap carting about the world a lot of coal for a freight--to me she was the endeavour, the test, the trial of life. I think of her with pleasure, with affection, with regret--as you would think of someone dead you have loved. I shall never forget her. . . . Pass the bottle.",faith,/wiki/Joseph_Conrad,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Joseph_Conrad.PNG/67px-Joseph_Conrad.PNG,faith,quote500k,c,0,none,0.86317225,"{'source': 'prediction', 'related_topic': 'religion', 'stance': 'c', 'correlation': 'consistent'}",undirect,none
17194,Marcus du Sautoy,"When people ask me what my religion is, I say it's the Arsenal.",religion,/wiki/Marcus_du_Sautoy,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Professor_Marcus_du_Sautoy_OBE_FRS.jpg/66px-Professor_Marcus_du_Sautoy_OBE_FRS.jpg,religion,quote500k,c,0,none,0.66623892,"{'source': 'ibm', 'related_topic': 'atheism', 'stance': 'p', 'correlation': 'contrast'}",undirect,c
7350,William M. Bass,All my life I'd been a believing Christian. ... But that instant in the ER--the instant Annette [his wife] died--I seemed to feel my religious faith die,faith,/wiki/William_M._Bass,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/BillBass_cropped.png/100px-BillBass_cropped.png,faith,quote500k,c,0,none,0.460999931,"{'source': 'ibm', 'related_topic': 'atheism', 'stance': 'p', 'correlation': 'contrast'}",undirect,none
19459,Dorothy Day,"The legal battle against segregation is won, but the community battle goes on.",separatism,/wiki/Dorothy_Day,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Dorothy_Day%2C_1916_%28cropped%29.jpg/71px-Dorothy_Day%2C_1916_%28cropped%29.jpg,segregation,quote500k,p,0.38599383,"{'source': 'ibm', 'related_topic': 'socialism', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,none
17570,Kim Jong-un,"The women's movement in Korea is a Juche-oriented movement, which was pioneered by the great Comrade Kim Il Sung and which followed the proud road of development under the leadership of Comrades Kim Il Sung and Kim Jong Il.",evolution,/wiki/Kim_Jong-un,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Kim_and_Trump_standing_next_to_each_other_%28cropped%29.jpg/73px-Kim_and_Trump_standing_next_to_each_other_%28cropped%29.jpg,development,quote500k,p,0.976867258,"{'source': 'ibm', 'related_topic': 'nationalism', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,none
16732,Dorothy Day,"It is easier to have faith that God will support each House of Hospitality and Farming Commune and supply our needs in the way of food and money to pay bills, than it is to keep a strong, hearty, living faith in each individual around us - to see Christ in him.",faith,/wiki/Dorothy_Day,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Dorothy_Day%2C_1916_%28cropped%29.jpg/71px-Dorothy_Day%2C_1916_%28cropped%29.jpg,faith,quote500k,p,0.238681409,"{'source': 'ibm', 'related_topic': 'atheism', 'stance': 'c', 'correlation': 'contrast'}",0.207077398,"{'source': 'prediction', 'related_topic': 'marxism', 'stance': 'p', 'correlation': 'contrast'}",undirect,p
19051,Michelle Phan,"All of the development I do is with the help of business advisors who are more like my best friends than just business people. They helped me as I created Ipsy back in 2011, which is a beauty community that ships out sampling bags to subscribers.",evolution,/entity/Q384960,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Michelle_Phan_by_Gage_Skidmore.jpg/77px-Michelle_Phan_by_Gage_Skidmore.jpg,development,quote500k,p,0.940295157,"{'source': 'prediction', 'related_topic': 'youtube', 'stance': 'p', 'correlation': 'consistent'}",0,none,undirect,none
17108,David Beckham,My grandparents - my mom's parents - they're Jewish. But nobody ever pushed religion onto us. It wasn't something I ever grew up with.,religion,/entity/Q10520,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Beckswimbledon.jpg/78px-Beckswimbledon.jpg,religion,quote500k,p,0.584780063,"{'source': 'prediction', 'related_topic': 'islam', 'stance': 'p', 'correlation': 'consistent'}",0.086323917,"{'source': 'prediction', 'related_topic': 'tax', 'stance': 'c', 'correlation': 'consistent'}",undirect,none
